sample,,AMP,,AZI,,CEF,,FOX,,CAZ,,FUR,,CHL,,CIP,,COL,,GEN,,MERO,,NAL,,STR,,SMX,,SXT,,SUL,,TET,,TIG,,TRI
L00461-07,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S02159-07,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,32,<=,0.12,=,32,=,8,=,0.5,<=,0.25
S04055-07,=,8,=,32,=,1,>,32,=,1,=,4,>,128,=,2,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,2,>,256,>,32,=,2,=,1
L00738-11,=,2,=,8,<=,0.25,=,2,<=,0.5,=,2,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,16,=,64,<=,0.12,>,256,<=,4,=,0.5,<=,0.25
L00746-11,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,=,64,=,0.03,<=,1,=,32,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,<=,4,=,0.5,>,32
L00777-11,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,=,1,<=,0.03,<=,4,=,16,=,64,<=,0.12,=,128,<=,4,<=,0.25,<=,0.25
L01210-11,=,2,=,4,<=,0.25,=,2,<=,0.5,=,1,=,64,=,0.03,<=,1,<=,0.5,=,0.06,<=,4,>,64,>,1024,>,4,>,256,>,32,=,2,>,32
S02336-11,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,16,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S02636-11,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,<=,0.015,=,2,<=,0.5,<=,0.03,<=,4,=,16,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S03924-11,=,2,=,8,<=,0.25,=,4,<=,0.5,=,1,=,128,=,0.03,<=,1,=,32,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,>,32,=,2,>,32
S00454-11,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,=,8,=,16,=,32,<=,0.12,=,32,<=,4,<=,0.25,=,0.5
