"sample","amr","test","result"
"S02185-06","CHL","diskc","TN"
"S02185-06","GEN","diskc","TN"
"S02185-06","NAL","diskc","TN"
"S02185-06","SMX","diskc","TN"
"S02185-06","STR","diskc","TP"
"S02185-06","SXT","diskc","TN"
"S02202-01","AMP","diskc","TP"
"S02202-01","CHL","diskc","TP"
"S02202-01","GEN","diskc","TN"
"S02202-01","NAL","diskc","TN"
"S02202-01","SMX","diskc","TP"
"S02202-01","STR","diskc","TN"
"S02202-01","SXT","diskc","TP"
"S02289-14","AMP","diskc","TP"
"S02289-14","CHL","diskc","TN"
"S02289-14","GEN","diskc","TN"
"S02289-14","NAL","diskc","TN"
"S02289-14","SMX","diskc","TP"
"S02289-14","STR","diskc","TP"
"S02289-14","SXT","diskc","TP"
"S02336-11","AMP","diskc","TN"
"S02336-11","CHL","diskc","TN"
"S02336-11","GEN","diskc","TN"
"S02336-11","NAL","diskc","TN"
"S02336-11","SMX","diskc","TN"
"S02336-11","STR","diskc","TN"
"S02336-11","SXT","diskc","TN"
"S02347-12","AMP","diskc","TP"
"S02347-12","CHL","diskc","TN"
"S02347-12","GEN","diskc","TN"
"S02347-12","NAL","diskc","TP"
"S02347-12","SMX","diskc","TP"
"S02347-12","STR","diskc","FP"
"S02347-12","SXT","diskc","TN"
"S02357-04","AMP","diskc","TN"
"S02357-04","CHL","diskc","TN"
"S02357-04","GEN","diskc","TN"
"S02357-04","NAL","diskc","TN"
"S02357-04","SMX","diskc","TN"
"S02357-04","STR","diskc","TN"
"S02357-04","SXT","diskc","TN"
"S02606-01","AMP","diskc","TN"
"S02606-01","CHL","diskc","TN"
"S02606-01","GEN","diskc","TN"
"S02606-01","NAL","diskc","TP"
"S02606-01","SMX","diskc","TN"
"S02606-01","STR","diskc","TN"
"S02606-01","SXT","diskc","TN"
"S02636-11","AMP","diskc","TP"
"S02636-11","CHL","diskc","TP"
"S02636-11","GEN","diskc","TN"
"S02636-11","NAL","diskc","TN"
"S02636-11","SMX","diskc","FN"
"S02636-11","STR","diskc","FP"
"S02636-11","SXT","diskc","TP"
"S02790-08","AMP","diskc","TN"
"S02790-08","CHL","diskc","TN"
"S02790-08","GEN","diskc","TN"
"S02790-08","NAL","diskc","TN"
"S02790-08","SMX","diskc","TN"
"S02790-08","STR","diskc","TN"
"S02790-08","SXT","diskc","TN"
"S03040-10","AMP","diskc","TP"
"S03040-10","CHL","diskc","TP"
"S03040-10","GEN","diskc","TN"
"S03040-10","NAL","diskc","TP"
"S03040-10","SMX","diskc","TP"
"S03040-10","STR","diskc","TP"
"S03040-10","SXT","diskc","TP"
"S03086-14","AMP","diskc","TP"
"S03086-14","CHL","diskc","TN"
"S03086-14","GEN","diskc","TN"
"S03086-14","NAL","diskc","TN"
"S03086-14","SMX","diskc","TP"
"S03086-14","STR","diskc","TP"
"S03086-14","SXT","diskc","TN"
"S03120-13","AMP","diskc","TN"
"S03120-13","CHL","diskc","TN"
"S03120-13","GEN","diskc","TN"
"S03120-13","NAL","diskc","TN"
"S03120-13","SMX","diskc","TN"
"S03120-13","STR","diskc","TN"
"S03120-13","SXT","diskc","TN"
"S03195-14","AMP","diskc","TP"
"S03195-14","CHL","diskc","TN"
"S03195-14","GEN","diskc","TN"
"S03195-14","NAL","diskc","TN"
"S03195-14","SMX","diskc","TP"
"S03195-14","STR","diskc","FP"
"S03195-14","SXT","diskc","TP"
"S03249-01","AMP","diskc","TP"
"S03249-01","CHL","diskc","TP"
"S03249-01","GEN","diskc","TN"
"S03249-01","NAL","diskc","TN"
"S03249-01","SMX","diskc","TP"
"S03249-01","STR","diskc","TN"
"S03249-01","SXT","diskc","TP"
"S03274-06","AMP","diskc","TN"
"S03274-06","CHL","diskc","TN"
"S03274-06","GEN","diskc","TN"
"S03274-06","NAL","diskc","TP"
"S03274-06","SMX","diskc","TN"
"S03274-06","STR","diskc","TN"
"S03274-06","SXT","diskc","TN"
"S03558-99","AMP","diskc","TP"
"S03558-99","CHL","diskc","TP"
"S03558-99","GEN","diskc","TN"
"S03558-99","NAL","diskc","TN"
"S03558-99","SMX","diskc","TP"
"S03558-99","STR","diskc","TP"
"S03558-99","SXT","diskc","TN"
"S03612-03","AMP","diskc","TN"
"S03612-03","CHL","diskc","TN"
"S03612-03","GEN","diskc","TN"
"S03612-03","NAL","diskc","TN"
"S03612-03","SMX","diskc","TN"
"S03612-03","STR","diskc","TN"
"S03612-03","SXT","diskc","TN"
"S03622-02","AMP","diskc","TN"
"S03622-02","CHL","diskc","TN"
"S03622-02","GEN","diskc","TN"
"S03622-02","NAL","diskc","TN"
"S03622-02","SMX","diskc","TN"
"S03622-02","STR","diskc","TN"
"S03622-02","SXT","diskc","TN"
"S03632-02","AMP","diskc","TN"
"S03632-02","CHL","diskc","TP"
"S03632-02","GEN","diskc","TN"
"S03632-02","NAL","diskc","TN"
"S03632-02","SMX","diskc","TP"
"S03632-02","STR","diskc","TN"
"S03632-02","SXT","diskc","TP"
"S03862-13","AMP","diskc","TN"
"S03862-13","CHL","diskc","TN"
"S03862-13","GEN","diskc","TN"
"S03862-13","NAL","diskc","TN"
"S03862-13","SMX","diskc","TN"
"S03862-13","STR","diskc","TN"
"S03862-13","SXT","diskc","TN"
"S03883-00","AMP","diskc","TP"
"S03883-00","CHL","diskc","TP"
"S03883-00","GEN","diskc","TN"
"S03883-00","NAL","diskc","TN"
"S03883-00","SMX","diskc","TP"
"S03883-00","STR","diskc","FP"
"S03883-00","SXT","diskc","TN"
"S03924-11","AMP","diskc","TN"
"S03924-11","CHL","diskc","TP"
"S03924-11","GEN","diskc","TP"
"S03924-11","NAL","diskc","TN"
"S03924-11","SMX","diskc","TP"
"S03924-11","STR","diskc","TP"
"S03924-11","SXT","diskc","TP"
"S04055-07","AMP","diskc","TN"
"S04055-07","CHL","diskc","TP"
"S04055-07","GEN","diskc","TN"
"S04055-07","NAL","diskc","TP"
"S04055-07","SMX","diskc","TP"
"S04055-07","STR","diskc","TN"
